Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
52,52,JP,9781442310964,Japanese 3,3,,,04R,,M,いいえ、まだまだです。,"iie, mada mada desu.",4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0052.mp3,"7,9"
53,53,JP,9781442310964,Japanese 3,3,,,05Q,,N,"You speak Japanese well, don't you. (polite)",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0053.mp3,"10,13,15"
54,54,JP,9781442310964,Japanese 3,3,,,05R,,F,日本語がお上手ですね。,nihongo ga ojozu desu ne.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0054.mp3,"10,13,15"
55,55,JP,9781442310964,Japanese 3,3,,,06Q,,N,Next year I'm planning to go to America.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0055.mp3,"1,17,18"
56,56,JP,9781442310964,Japanese 3,3,,,06R,,F,来年アメリカへ行くつもりです。,rai nen amerika e iku tsumori desu.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0056.mp3,"1,17,18"
57,57,JP,9781442310964,Japanese 3,3,,,07Q,,N,I'm planning to go next year.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0057.mp3,"17,18"
58,58,JP,9781442310964,Japanese 3,3,,,07R,,F,来年行くつもりです。,rai nen iku tsumori desu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0058.mp3,"17,18"
59,59,JP,9781442310964,Japanese 3,3,,,08Q,,N,Did you learn it in America?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0059.mp3,"9,15"
60,60,JP,9781442310964,Japanese 3,3,,,08R,,F,アメリカで習いましたか。,amerika de naraimashita ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0060.mp3,"9,15"
61,61,JP,9781442310964,Japanese 3,3,,,09Q,,N,"As for Japanese, is it difficult?",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0061.mp3,"9,15"
62,62,JP,9781442310964,Japanese 3,3,,,09R,,F,日本語はむずかしいですか。,nihongo wa muzukashii desu ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0062.mp3,"9,15"
63,63,JP,9781442310964,Japanese 3,3,,,10Q,,N,"For me, it's difficult.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0063.mp3,"9,15"
